	scenario_title	search_nums	image_path	target_price_buyer	target_price_seller	description_buyer	description_seller
230	Coffee Table	2560000000	furniture/6138803721_0.jpg	106	140	Excellent cappuccino colored wooden coffee table from Pier 1 Imports. Absolutely no issues. 42 x 20 x 18in. I am located in Sunset, SF.	Excellent cappuccino colored wooden coffee table from Pier 1 Imports. Absolutely no issues. 42 x 20 x 18in. I am located in Sunset, SF.
956	Outdoor Dining Set: Table and 4 chairs	2450000000	furniture/6130662989_0.jpg	209	299	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H"	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H It is about 3 years old, and has weathered outside as you can see in photos. Could use as-is, or spruce it up with some teak oil. Umbrella is NOT included, but there is an umbrella hole in the table. For pickup only, in Berkeley. Easy outdoor access to the furniture. Best availability -  SUNDAY  - if you want to come take a look/pick it up. Thanks!"
1140	Outdoor Dining Set: Table and 4 chairs	2450000000	furniture/6130662989_0.jpg	269	299	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H"	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H It is about 3 years old, and has weathered outside as you can see in photos. Could use as-is, or spruce it up with some teak oil. Umbrella is NOT included, but there is an umbrella hole in the table. For pickup only, in Berkeley. Easy outdoor access to the furniture. Best availability -  SUNDAY  - if you want to come take a look/pick it up. Thanks!"
928	Outdoor Dining Set: Table and 4 chairs	2450000000	furniture/6130662989_0.jpg	149	299	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H"	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H It is about 3 years old, and has weathered outside as you can see in photos. Could use as-is, or spruce it up with some teak oil. Umbrella is NOT included, but there is an umbrella hole in the table. For pickup only, in Berkeley. Easy outdoor access to the furniture. Best availability -  SUNDAY  - if you want to come take a look/pick it up. Thanks!"
957	Outdoor Dining Set: Table and 4 chairs	2450000000	furniture/6130662989_0.jpg	269	299	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H"	"Outdoor dining set, made of Teak, from World Market. Table is large enough to seat 8 adults easily. (Supply your own chairs to expand the seating.) One table and 4 chairs and, bonus, a backless bench that seats 3 - but the bench needs a repair so I'm just including it without listing it in the posting title. Table is 72""Lx38""Wx30""H Chair: 18""W, 19.5 deep. Chair back is 34""H, seat is 17.5H It is about 3 years old, and has weathered outside as you can see in photos. Could use as-is, or spruce it up with some teak oil. Umbrella is NOT included, but there is an umbrella hole in the table. For pickup only, in Berkeley. Easy outdoor access to the furniture. Best availability -  SUNDAY  - if you want to come take a look/pick it up. Thanks!"
818	Black Office Chair	2100000000	furniture/6145322190_0.jpg	7	10	Black Office Chair on wheels.	Black Office Chair on wheels. It has some wear and tear around the edges, so be sure to check out the photos. Squeaks a bit if you lean back too far, but if you need a basic chair, it works great. Comfy padding.
903	Black Office Chair	2100000000	furniture/6145322190_0.jpg	9	10	Black Office Chair on wheels.	Black Office Chair on wheels. It has some wear and tear around the edges, so be sure to check out the photos. Squeaks a bit if you lean back too far, but if you need a basic chair, it works great. Comfy padding.
898	Black Office Chair	2100000000	furniture/6145322190_0.jpg	5	10	Black Office Chair on wheels.	Black Office Chair on wheels. It has some wear and tear around the edges, so be sure to check out the photos. Squeaks a bit if you lean back too far, but if you need a basic chair, it works great. Comfy padding.
768	Black Office Chair	2100000000	furniture/6145322190_0.jpg	5	10	Black Office Chair on wheels.	Black Office Chair on wheels. It has some wear and tear around the edges, so be sure to check out the photos. Squeaks a bit if you lean back too far, but if you need a basic chair, it works great. Comfy padding.
1501	Desk	2020000000	furniture/6144812460_0.jpg	30	60	This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.	This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.
1477	Desk	2020000000	furniture/6144812460_0.jpg	42	60	This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.	This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.
1491	Desk	2020000000	furniture/6144812460_0.jpg	54	60	This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.	This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.
1220	HOUSE SPECIALS -- 2 HIGH BACK CHAIRS --	1580000000	furniture/6127966709_0.jpg	34	49	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
1276	HOUSE SPECIALS -- 2 HIGH BACK CHAIRS --	1580000000	furniture/6127966709_0.jpg	24	49	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
1280	HOUSE SPECIALS -- 2 HIGH BACK CHAIRS --	1580000000	furniture/6127966709_0.jpg	24	49	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
1244	HOUSE SPECIALS -- 2 HIGH BACK CHAIRS --	1580000000	furniture/6127966709_0.jpg	44	49	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE OF MANY HOUSE SPECIALS -- HERE ARE 2 HIGH BACK CHAIRS -- THESE CHAIRS ARE WELL MADE AND VERY COMFORTABLE -- NOTE -- THERE IS SOME WEAR ON THE CORNERS AS CATS USED THEM FOR THERE SCRATCHING POST -- OTHERWISE IN GOOD CONDITION -- ONLY 49.00 EACH OR BOTH FOR 80.00 -- THESE CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
268	dining table	1370000000	furniture/6136355463_0.jpg	57	75	"Used dining table as pictured, plus a leaf to expand the size.  Although the surface looks stained, a tablecloth solves that issue, and this table is sturdy. As pictured, the table is 48"" round and you can put four chairs around it.  If you add the leaf, the table becomes 6' x 4' oval you can easily put six seats around, we've managed eight seats around it at times."	"Used dining table as pictured, plus a leaf to expand the size.  Although the surface looks stained, a tablecloth solves that issue, and this table is sturdy. As pictured, the table is 48"" round and you can put four chairs around it.  If you add the leaf, the table becomes 6' x 4' oval you can easily put six seats around, we've managed eight seats around it at times. Cash only and you pickup in Pleasant Hill. Is big, so please bring large vehicle and friends to help load. Sorry, I can't assist. If interested, please respond with a number I can text you at, so I know you're serious about quick pickup. If you don't include a text number then I will not respond."
28	dining table	1370000000	furniture/6136355463_0.jpg	69	75	"Used dining table as pictured, plus a leaf to expand the size.  Although the surface looks stained, a tablecloth solves that issue, and this table is sturdy. As pictured, the table is 48"" round and you can put four chairs around it.  If you add the leaf, the table becomes 6' x 4' oval you can easily put six seats around, we've managed eight seats around it at times."	"Used dining table as pictured, plus a leaf to expand the size.  Although the surface looks stained, a tablecloth solves that issue, and this table is sturdy. As pictured, the table is 48"" round and you can put four chairs around it.  If you add the leaf, the table becomes 6' x 4' oval you can easily put six seats around, we've managed eight seats around it at times. Cash only and you pickup in Pleasant Hill. Is big, so please bring large vehicle and friends to help load. Sorry, I can't assist. If interested, please respond with a number I can text you at, so I know you're serious about quick pickup. If you don't include a text number then I will not respond."
1607	Piano	1190000000		92	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
1570	Piano	1190000000		60	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
1581	Piano	1190000000		76	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
1586	Piano	1190000000		76	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
1598	Piano	1190000000		60	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
1606	Piano	1190000000		92	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
1565	Piano	1190000000		76	100	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.	Piano for sale. It is very heavy and needs at least 4 people to lift and move. My kids have used it for years music lessons. Does need a tuning, otherwise plays like a charm.
832	NICE --- GLASS TOP TABLE / 4 CHAIRS	1030000000	furniture/6127970232_0.jpg	74	149	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
801	NICE --- GLASS TOP TABLE / 4 CHAIRS	1030000000	furniture/6127970232_0.jpg	134	149	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
758	NICE --- GLASS TOP TABLE / 4 CHAIRS	1030000000	furniture/6127970232_0.jpg	134	149	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
318	NICE --- GLASS TOP TABLE / 4 CHAIRS	1030000000	furniture/6127970232_0.jpg	113	149	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
843	NICE --- GLASS TOP TABLE / 4 CHAIRS	1030000000	furniture/6127970232_0.jpg	104	149	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	JUST IN ONE NICE GLASS TOP TABLE WITH A MAHOGANY BASE ALSO 4 MAHOGANY CHAIRS -- THIS SET IS A MARRIAGE -- FOR ALL 5 PIECES -- THE PRICE IS 149.00 -- GLASS TOP TABLE IS 95.00 AND THE CHAIRS ARE 19.00 EACH -- OVERALL THIS SET IS IN GOOD CONDITION -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
538	BEDROOM SET	989000000	furniture/6144627258_0.jpg	244	350	Great bedroom set that is suitable for any young lady. Our daughter has used this for a few years but we must now give it up to another family. We are moving out of state and can not take it with us.	Great bedroom set that is suitable for any young lady. Our daughter has used this for a few years but we must now give it up to another family. We are moving out of state and can not take it with us. Can be sold separately or as a set. The Set has the following: Footboard
489	BEDROOM SET	989000000	furniture/6144627258_0.jpg	175	350	Great bedroom set that is suitable for any young lady. Our daughter has used this for a few years but we must now give it up to another family. We are moving out of state and can not take it with us.	Great bedroom set that is suitable for any young lady. Our daughter has used this for a few years but we must now give it up to another family. We are moving out of state and can not take it with us. Can be sold separately or as a set. The Set has the following: Footboard
542	BEDROOM SET	989000000	furniture/6144627258_0.jpg	315	350	Great bedroom set that is suitable for any young lady. Our daughter has used this for a few years but we must now give it up to another family. We are moving out of state and can not take it with us.	Great bedroom set that is suitable for any young lady. Our daughter has used this for a few years but we must now give it up to another family. We are moving out of state and can not take it with us. Can be sold separately or as a set. The Set has the following: Footboard
1497	Patio Table Set with Chairs (Like New)	984000000	furniture/6143884447_0.jpg	87	125	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass.	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass. Great condition...purchased last year and then moved shortly afterwards. Doesn't fit new apartment - so it has been sitting in storage. CHAIRS 2 Rustic Brown Metal Chairs. Perfect condition. COST
1503	Patio Table Set with Chairs (Like New)	984000000	furniture/6143884447_0.jpg	112	125	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass.	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass. Great condition...purchased last year and then moved shortly afterwards. Doesn't fit new apartment - so it has been sitting in storage. CHAIRS 2 Rustic Brown Metal Chairs. Perfect condition. COST
1494	Patio Table Set with Chairs (Like New)	984000000	furniture/6143884447_0.jpg	112	125	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass.	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass. Great condition...purchased last year and then moved shortly afterwards. Doesn't fit new apartment - so it has been sitting in storage. CHAIRS 2 Rustic Brown Metal Chairs. Perfect condition. COST
1498	Patio Table Set with Chairs (Like New)	984000000	furniture/6143884447_0.jpg	62	125	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass.	Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass. Great condition...purchased last year and then moved shortly afterwards. Doesn't fit new apartment - so it has been sitting in storage. CHAIRS 2 Rustic Brown Metal Chairs. Perfect condition. COST
1269	Full Size Bedroom Set (solid wood)	927000000	furniture/6144825514_0.jpg	250	500	For sale I have a solid wood bedroom set in full size. Includes bed frame, two night stands, 7 drawer dresser with mirror, and two storage boxes which slide underneath the bed. Does NOT include mattress. Selling everything together. If interested please TEXT only. Can deliver for additional fee depending on where you are located.	For sale I have a solid wood bedroom set in full size. Includes bed frame, two night stands, 7 drawer dresser with mirror, and two storage boxes which slide underneath the bed. Does NOT include mattress. Selling everything together. If interested please TEXT only. Can deliver for additional fee depending on where you are located. Price is negotiable. Serious buyers only. What you see is what you get. Please do not waste my time. Thank you! Located in Newark twin Queen King California
1197	Full Size Bedroom Set (solid wood)	927000000	furniture/6144825514_0.jpg	350	500	For sale I have a solid wood bedroom set in full size. Includes bed frame, two night stands, 7 drawer dresser with mirror, and two storage boxes which slide underneath the bed. Does NOT include mattress. Selling everything together. If interested please TEXT only. Can deliver for additional fee depending on where you are located.	For sale I have a solid wood bedroom set in full size. Includes bed frame, two night stands, 7 drawer dresser with mirror, and two storage boxes which slide underneath the bed. Does NOT include mattress. Selling everything together. If interested please TEXT only. Can deliver for additional fee depending on where you are located. Price is negotiable. Serious buyers only. What you see is what you get. Please do not waste my time. Thank you! Located in Newark twin Queen King California
1210	Full Size Bedroom Set (solid wood)	927000000	furniture/6144825514_0.jpg	250	500	For sale I have a solid wood bedroom set in full size. Includes bed frame, two night stands, 7 drawer dresser with mirror, and two storage boxes which slide underneath the bed. Does NOT include mattress. Selling everything together. If interested please TEXT only. Can deliver for additional fee depending on where you are located.	For sale I have a solid wood bedroom set in full size. Includes bed frame, two night stands, 7 drawer dresser with mirror, and two storage boxes which slide underneath the bed. Does NOT include mattress. Selling everything together. If interested please TEXT only. Can deliver for additional fee depending on where you are located. Price is negotiable. Serious buyers only. What you see is what you get. Please do not waste my time. Thank you! Located in Newark twin Queen King California
