price_yen	product_name	brand	selling_rank	review1_ja		review1_en	review2_ja	review2_en	review3_ja	review3_en	review4_ja	review4_en	review5_ja	review5_en	shorten_url
6980	Office Chair, high-back, movable	Tansu no Gen	amazon_35	座り心地が良く、背中が蒸れないので長時間の使用に向いていると思います。	I feel comfortable to sit on, I think that it is suitable for a long time because the back does not steam.	総じて良い商品です。梱包も製品も問題ありませんでした。	It is a good product overall. There was no problem with the packaging and the product.	見た目は値段以上にしっかりしています。座り心地はまずまずと言ったところです。	The appearance is firmer than the price. Sitting comfort is a fair saying.	None	None	None	None	https://amzn.to/2R8Fuf1
8880	Middle Back Chair - Eams Aluminum	Designer's Furniture	rakuten_261	しっかりしていて、壊れるような不安要素はありません。形もかっこよくて色も気に入りました。	There is no anxiety factor that is solid and broken. The shape was also cool and I also liked the color.	座面が深くて座りやすいです。	The seating surface is deep and easy to sit.	この値段でこのデザインは良いじゃないですか。作りもしっかりしています。	This price is good at this price. I am also solid making.	None	None	None	None	https://bit.ly/2R3V2AV
8980	Office Chair, with elbow rest, high-back	MY-HOME	yahoo_9	ローラーの稼働が個人的にスムーズではない気がしますが、座り心地は大変満足です。	I feel that the operation of the roller is not smooth personally, but the comfort is very satisfying.	座り心地がゆったりとしているのに、大きすぎず、デザインもよく気に入っています。	Even though comfort is relaxed, it is not too big, I like the design a lot.	組み立てはとてもシンプルで15分くらいでできました。キャスターも音がするかと思っていましたが、結構静かでした。	The assembly was very simple and it took about 15 minutes. I thought that the casters sounded, but it was pretty quiet.	None	None	None	None	https://bit.ly/2MtszUd
9158	Office Chair, leather	Office com	yahoo_96	一応リクライニングもするし、それなりに丈夫そうです。背もたれ、座席のクッションは、良いと思います。	I will do some reclining and it seems to be as it is. I think the backrest, seat cushion is good.	座り心地も良く、組み立ても楽に出来ました！！	Sitting comfort was also good, and it was easy to assemble! !	本商品は背もたれ部が大きく形状も背中にフィットする感じで良いです。組み立ても簡単にできました。	This item is good with feeling that the backrest is large and the shape fit the back. It was easy to assemble.	None	None	None	None	https://bit.ly/2FT6ldd
9450	Firma, Bentwood Work Chair	Kagula	rakuten_209	色合いはイメージ通りで座り心地もよく、入荷を待って購入してよかったと心から思っています。	I am convinced that the coloring is as good as the image and comfortable to sit and good to purchase waiting for arrival.	シンプルでかわいく 曲げ木がオシャレで気に入りました。カラーも机と部屋の色に合い 気に入りました。	I liked simple and cute bending tree fashionable. I liked the color to suit the desk and the color of the room.	やわらかい発色のブルーとホワイトの足のコントラストが気に入ってます。キャスターも軽やかに動き、座り心地も良く、娘も希望通りで大満足です。	I like the contrast of soft feet blue and white feet. Castors also move lightly, comfortable to sit well, my daughter is as happy as I am satisfied.	None	None	None	None	https://bit.ly/2FHDOrO
9666	Office Chair, cobalt, mesh	Kagukuro	yahoo_84	早速組立て使用していますが、現状はとても良いと思います。	I am using the assembly immediately, but I think that the present condition is very good.	None	None	None	None	None	None	None	None	https://bit.ly/2Dtyoyo
9980	Office Chair, bounce-up armrest	Tansu no Gen	amazon_3	背もたれの角度も調節できるし、ギターを弾く時はアームレストを上げられるし、コストパフォーマンスは良いし、言うことなしです。	You can also adjust the angle of the backrest, you can raise the armrest when playing the guitar, cost performance is good, that is no say.	座り心地がとても良く、コストパフォーマンスはとても高いと思います。とても良い商品です。	I think that comfortable seating is very good and cost performance is very high. It is a very good product.	見た目がスッキリしてて、座り心地は座面がフワフワしており、いまのところいい感じです。	The appearance is refreshing, the comfortable seating is fluffy seating surface, it is a nice feeling right now.	None	None	None	None	https://amzn.to/2Hu0LjT
9980	Office Chair, mesh	MY-HOME	rakuten_1	リクライニングと肘掛はスムーズに動きました。結構な角度までリクライニングできます。頭を当てる部分も高さ調整できるのですが、ココはキツかったです。	Reclining and armrests moved smoothly. You can recline to a good angle. Although you can adjust the height of the part that hits your head, here is hard work.	メッシュがストライプになっているので、よく見かけるタイプのメッシュチェアよりとても高級感があり、久しぶりにネットでよい買い物したなぁ～って思いました！！	Because the mesh is striped, there is a sense of luxury more than the type of mesh chair I see often, I thought that I shopped good on the net for the first time in a while! !	ランバーサポートのフィット感と座面のクッションがしっかりしているので、長時間座っても疲れにくいです。部品数も多くないで組み立てで迷うことは無かったです。	Because the fitness of the lumbar support and the seat cushion are solid, it is hard to get tired even if you sit for a long time. There was nothing lost in the assembly without many parts.	None	None	None	None	https://bit.ly/2MrbH0u
9980	Hbada, Simple Office Chair		amazon_8	座面も 体格が良くても 良い感じのゆったりと 硬さで 背もたれもしっくりで良いです。	Even if the seat surface is also good physique Good feeling relaxed hardness and the backrest is also good in the fit.	椅子の下部には5つの支持車輪があり、バランスは非常に良く、非常に安定し、安全性は高いと思います。	There are five supporting wheels at the bottom of the chair, the balance is very good, very stable, I think that safety is high.	座面のクッションが低反発で，座ってても楽なところが良かったです．長時間作業しててもそれほど疲れません．	The cushion of the seat was low rebound and it was a nice place to sit down. Even if I work for a long time, I am not very tired.	None	None	None	None	https://amzn.to/2HC6qUW
9990	LEQUAS-BK2, Office Chair	Office com	amazon_67	肘掛が可動することでデスクに収まりすっきりします。また座面も大きく座り心地も良い点が気に入りました。	The armrest moves and it fits in the desk and it clears up. Also, I like the seating surface and the comfortable feeling.	クッション性があり、しっかりと体を支えてくれる椅子を探していました。こちらは、想像以上に座りやすくて、疲れません。大満足です。	I was looking for a chair that has cushioning properties and supports the body firmly. This is easier to sit than I imagined, I will not get tired. I am very satisfied.	この値段では割安に感じるぐらい良いものでした。大きめなので安定感があり座っていても数時間は疲れず座っていられます。	At this price it was good enough to feel cheap. It's bigger so I have a feeling of stability and even if I sit, I can sit without getting tired for hours.	None	None	None	None	https://amzn.to/2HrzyhH
10692	Office Chair, Navy, low-back	OKAMURA Plant	amazon_33	しっかりとした、がたつきが少ない作り。正しい姿勢を保つ様にさせる椅子自体の形状。広々とした座面。肉厚のクッション。高級感のある布生地。	Make a solid, little rattling. The shape of the chair itself	 that keeps the correct posture. Spacious seating surface. Thick cushion. Cloth fabric with a sense of quality.	座り心地、背もたれの角度、安定性など満足しております。キャスターもフローリングの上だと、よく転がります。	We are satisfied with comfort, angle of the back, stability and so on. If the caster is also on the flooring, it rolls well.	クッションもフカフカで前まで使っていた安いベニヤ板の椅子とは全然違います。流石５ケタのお値段の椅子って感じです。	It is completely different from the cheap plywood chair that you used before with cushion. I feel like a chair of price of 5 digits.	None	None	None	None	https://amzn.to/2WdYn3W
